date,ntai_nav
2026-07-17,100.0000
2026-07-20,101.1554
2026-07-21,107.8423
2026-07-22,108.4678
2026-07-23,109.0587
2026-07-24,104.0505
2026-07-27,101.7101
2026-07-28,96.5933
2026-07-29,88.5781
2026-07-30,95.9542
2026-07-31,96.4920
2026-08-03,100.4444
2026-08-04,104.4061
2026-08-05,105.2723
2026-08-06,103.7895
2026-08-07,104.6172
2026-08-10,102.8566
2026-08-11,104.8485
2026-08-12,109.4509
2026-08-13,110.5707
2026-08-14,112.4105
2026-08-17,113.4014
2026-08-18,107.1918
2026-08-19,106.1484
2026-08-20,107.7308
2026-08-21,106.6857
2026-08-24,103.2626
2026-08-25,105.4758
2026-08-26,105.9096
2026-08-27,108.6282
2026-08-28,104.8935
2026-08-31,105.6889
2026-09-01,104.4065
2026-09-02,106.2646
2026-09-03,107.9214
2026-09-04,112.4657
2026-09-08,113.3620
2026-09-09,111.1672
2026-09-10,106.8793
2026-09-11,107.8576
2026-09-14,101.8689
2026-09-15,101.4530
2026-09-16,102.4259
2026-09-17,105.5030
2026-09-18,107.4917
2026-09-21,110.1328
2026-09-22,112.2938
2026-09-23,110.4613
2026-09-24,110.7497
2026-09-25,111.5164
